region,wdId,name,fullname,creation,extinction,postalCode_ranges,notes
CO,Q980175,Centro-Oeste,Região Centro-Oeste do Brasil,1945,,,"IBGE. Map redefined in 1950 and 1969."
N,Q478465,Norte,Região Norte do Brasil,1940,,,"IBGE. Map redefined in 1945, 1950 and 1969."
NE,Q1136194,Nordeste,Região Nordeste do Brasil,1969,,,"IBGE. See also NE40 with creation/extinction in 1940/1945."
S,Q1060042,Sul,Região Sul do Brasil,1940,,,"IBGE. Map redefined in 1945, 1950 and 1969."
SE,Q1088815,Sudeste,Região Sudeste do Brasil,1969,,,"IBGE."
R1913-SET,,Setentrional,Região Setentrional do Brasil,1913,1939,,"Escolar (AM, PA e Território do Acre)."
R1913-NOO,,Norte Oriental,Região Norte Oriental do Brasil,1913,1939,,"Escolar (MA, PI, CE, RN, PB, PE, AL)."
R1913-CTL,,Central,Região Central do Brasil,1913,1939,,"Escolar (MT e GO)."
R1913-ORI,,Oriental,Região Oriental do Brasil,1913,1939,,"Escolar (SE, BA, MG, ES, RJ e o DF)."
R1913-MER,,Meridional,Região Central do Brasil,1913,1939,,"Escolar (SP, PR, SC e RS)."
R1940-C,,Centro,Região Centro do Brasil,1940,1944,,"IBGE. (MG,GO,old MT)."
R1940-NE,,Nordeste,Região Nordeste do Brasil,1940,1944,,"IBGE."
